model,MAE,RMSE,MAPE,sMAPE,R2,MASE,train_time_s,fold,subset_name,n_features,train_rows,test_rows,model_key
Ridge,4.625,6.683,4.163,3.804,0.9791,0.36,0.02,10,top_10,10,57344,2920,ridge
Ridge,5.345,6.88,3.537,3.578,0.9734,0.406,0.02,1,top_20,20,31064,2920,ridge
Ridge,10.299,18.187,6.848,6.757,0.8104,0.372,0.04,2,top_20,20,33984,2920,ridge
Ridge,4.863,6.102,3.526,3.543,0.9829,0.339,0.05,3,top_20,20,36904,2920,ridge
Ridge,4.517,5.773,3.208,3.247,0.9823,0.383,0.04,4,top_20,20,39824,2920,ridge
Ridge,11.667,22.487,7.334,7.116,0.7532,0.455,0.05,5,top_20,20,42744,2920,ridge
Ridge,5.033,6.54,3.435,3.415,0.9878,0.339,0.03,6,top_20,20,45664,2920,ridge
Ridge,4.6,5.932,3.145,3.161,0.9835,0.371,0.03,7,top_20,20,48584,2920,ridge
Ridge,10.535,18.094,6.743,6.572,0.8447,0.376,0.03,8,top_20,20,51504,2920,ridge
Ridge,4.777,6.235,3.305,3.287,0.9881,0.353,0.05,9,top_20,20,54424,2920,ridge
Ridge,4.876,6.912,4.47,4.065,0.9777,0.38,0.04,10,top_20,20,57344,2920,ridge
Ridge,4.695,6.109,3.155,3.203,0.979,0.356,0.05,1,top_30,30,31064,2920,ridge
Ridge,7.028,11.104,4.867,4.846,0.9293,0.254,0.05,2,top_30,30,33984,2920,ridge
Ridge,4.381,5.508,3.192,3.201,0.9861,0.305,0.05,3,top_30,30,36904,2920,ridge
Ridge,4.318,5.636,3.053,3.103,0.9831,0.366,0.05,4,top_30,30,39824,2920,ridge
Ridge,7.455,12.383,4.84,4.735,0.9252,0.291,0.06,5,top_30,30,42744,2920,ridge
Ridge,4.502,5.723,3.193,3.177,0.9907,0.303,0.05,6,top_30,30,45664,2920,ridge
Ridge,4.29,5.64,2.923,2.956,0.9851,0.346,0.05,7,top_30,30,48584,2920,ridge
Ridge,6.793,9.932,4.507,4.462,0.9532,0.243,0.08,8,top_30,30,51504,2920,ridge
Ridge,4.369,5.552,3.149,3.131,0.9906,0.323,0.07,9,top_30,30,54424,2920,ridge
Ridge,4.33,6.599,4.274,3.762,0.9797,0.337,0.07,10,top_30,30,57344,2920,ridge
Ridge,4.507,5.88,3.016,3.059,0.9805,0.342,0.08,1,top_50,50,31064,2920,ridge
Ridge,6.494,10.228,4.468,4.464,0.94,0.235,0.09,2,top_50,50,33984,2920,ridge
Ridge,4.284,5.408,3.003,3.029,0.9866,0.298,0.08,3,top_50,50,36904,2920,ridge
Ridge,4.005,5.267,2.823,2.863,0.9852,0.34,0.08,4,top_50,50,39824,2920,ridge
Ridge,6.699,10.994,4.368,4.272,0.941,0.262,0.1,5,top_50,50,42744,2920,ridge
Ridge,4.102,5.315,2.81,2.81,0.992,0.276,0.11,6,top_50,50,45664,2920,ridge
Ridge,4.019,5.273,2.747,2.762,0.9869,0.324,0.1,7,top_50,50,48584,2920,ridge
Ridge,5.911,8.8,3.9,3.868,0.9633,0.211,0.1,8,top_50,50,51504,2920,ridge
Ridge,3.896,5.02,2.719,2.711,0.9923,0.288,0.12,9,top_50,50,54424,2920,ridge
Ridge,4.34,6.691,4.465,3.836,0.9791,0.338,0.12,10,top_50,50,57344,2920,ridge
Ridge,4.432,5.812,3.006,3.011,0.981,0.336,0.15,1,all,115,31064,2920,ridge
